nm, A
800,-0.002219
799,-0.003483
798,-0.002324
797,-0.00251
796,-0.002947
795,-0.003283
794,-0.002879
793,-0.002682
792,-0.00311
791,-0.003117
790,-0.001909
789,-0.003013
788,-0.00299
787,-0.002569
786,-0.003081
785,-0.00278
784,-0.003045
783,-0.003112
782,-0.003161
781,-0.002597
780,-0.003037
779,-0.003436
778,-0.002985
777,-0.003512
776,-0.003238
775,-0.002885
774,-0.002312
773,-0.003806
772,-0.002904
771,-0.003125
770,-0.003193
769,-0.003491
768,-0.002698
767,-0.002816
766,-0.002539
765,-0.003185
764,-0.002998
763,-0.002447
762,-0.002991
761,-0.003049
760,-0.002661
759,-0.002956
758,-0.003456
757,-0.003271
756,-0.002944
755,-0.003315
754,-0.00278
753,-0.003684
752,-0.002936
751,-0.003079
750,-0.003384
749,-0.003326
748,-0.003554
747,-0.003104
746,-0.003199
745,-0.002829
744,-0.00339
743,-0.002842
742,-0.002832
741,-0.003265
740,-0.00318
739,-0.003368
738,-0.002929
737,-0.002881
736,-0.003037
735,-0.003178
734,-0.003206
733,-0.003306
732,-0.003387
731,-0.003384
730,-0.003141
729,-0.003062
728,-0.003004
727,-0.003396
726,-0.003049
725,-0.003475
724,-0.003364
723,-0.003176
722,-0.003048
721,-0.002939
720,-0.002864
719,-0.003421
718,-0.003615
717,-0.003426
716,-0.003096
715,-0.002891
714,-0.003455
713,-0.003266
712,-0.003277
711,-0.003408
710,-0.002974
709,-0.003165
708,-0.003479
707,-0.002932
706,-0.002902
705,-0.003282
704,-0.003283
703,-0.002977
702,-0.002951
701,-0.002955
700,-0.003213
699,-0.003438
698,-0.003412
697,-0.003359
696,-0.003227
695,-0.003291
694,-0.003129
693,-0.003344
692,-0.003235
691,-0.003132
690,-0.003092
689,-0.00321
688,-0.003173
687,-0.00335
686,-0.003322
685,-0.00335
684,-0.003513
683,-0.003618
682,-0.003443
681,-0.003336
680,-0.003292
679,-0.003356
678,-0.003159
677,-0.003068
676,-0.003109
675,-0.003196
674,-0.003351
673,-0.003418
672,-0.00331
671,-0.003354
670,-0.003582
669,-0.003488
668,-0.003367
667,-0.003563
666,-0.003701
665,-0.003583
664,-0.003609
663,-0.003438
662,-0.003402
661,-0.003634
660,-0.00361
659,-0.003452
658,-0.00329
657,-0.003346
656,-0.003303
655,-0.003369
654,-0.003386
653,-0.00344
652,-0.003485
651,-0.003344
650,-0.003427
649,-0.003372
648,-0.003365
647,-0.003503
646,-0.00365
645,-0.003741
644,-0.003648
643,-0.003522
642,-0.003568
641,-0.003661
640,-0.003724
639,-0.003573
638,-0.003737
637,-0.003707
636,-0.003528
635,-0.003484
634,-0.003569
633,-0.003824
632,-0.003877
631,-0.003498
630,-0.003387
629,-0.003578
628,-0.003604
627,-0.003486
626,-0.003638
625,-0.003558
624,-0.003648
623,-0.003735
622,-0.003742
621,-0.003544
620,-0.003592
619,-0.003779
618,-0.003693
617,-0.003469
616,-0.003697
615,-0.003568
614,-0.003529
613,-0.003624
612,-0.003692
611,-0.00383
610,-0.003602
609,-0.003612
608,-0.003552
607,-0.003556
606,-0.003636
605,-0.003686
604,-0.003631
603,-0.003497
602,-0.003667
601,-0.003834
600,-0.004103
599,-0.003881
598,-0.003829
597,-0.003865
596,-0.00385
595,-0.003843
594,-0.00375
593,-0.003558
592,-0.003633
591,-0.003727
590,-0.003802
589,-0.003791
588,-0.003891
587,-0.003748
586,-0.004025
585,-0.003822
584,-0.003843
583,-0.003574
582,-0.003859
581,-0.003839
580,-0.003873
579,-0.003734
578,-0.003679
577,-0.00387
576,-0.003758
575,-0.003664
574,-0.003778
573,-0.003861
572,-0.003933
571,-0.003788
570,-0.003686
569,-0.003819
568,-0.003803
567,-0.003887
566,-0.004013
565,-0.003949
564,-0.003719
563,-0.003634
562,-0.003891
561,-0.004111
560,-0.00379
559,-0.004109
558,-0.003876
557,-0.003846
556,-0.003832
555,-0.004071
554,-0.003799
553,-0.004132
552,-0.003969
551,-0.003715
550,-0.003684
549,-0.003989
548,-0.003958
547,-0.00416
546,-0.003826
545,-0.003659
544,-0.003862
543,-0.00385
542,-0.003889
541,-0.003953
540,-0.003634
539,-0.003756
538,-0.004042
537,-0.003838
536,-0.003964
535,-0.003958
534,-0.004133
533,-0.003822
532,-0.003735
531,-0.003869
530,-0.00396
529,-0.004183
528,-0.004043
527,-0.003772
526,-0.004077
525,-0.003981
524,-0.003878
523,-0.003914
522,-0.003982
521,-0.003714
520,-0.00418
519,-0.004081
518,-0.003885
517,-0.004188
516,-0.003787
515,-0.004166
514,-0.004101
513,-0.003988
512,-0.003871
511,-0.00472
510,-0.003935
509,-0.003904
508,-0.004198
507,-0.004333
506,-0.004258
505,-0.004401
504,-0.003813
503,-0.004042
502,-0.004053
501,-0.004314
500,-0.004008
499,-0.004531
498,-0.004161
497,-0.004091
496,-0.003918
495,-0.004319
494,-0.004065
493,-0.004226
492,-0.004253
491,-0.003901
490,-0.004288
489,-0.004536
488,-0.004124
487,-0.004251
486,-0.003551
485,-0.003808
484,-0.003883
483,-0.00389
482,-0.003479
481,-0.004053
480,-0.003624
479,-0.003626
478,-0.003551
477,-0.003552
476,-0.003708
475,-0.003384
474,-0.003102
473,-0.003197
472,-0.003167
471,-0.002942
470,-0.002907
469,-0.002835
468,-0.002629
467,-0.002503
466,-0.002456
465,-0.002724
464,-0.002668
463,-0.00301
462,-0.002721
461,-0.002531
460,-0.002593
459,-0.002303
458,-0.002091
457,-0.002433
456,-0.002326
455,-0.002164
454,-0.002289
453,-0.002641
452,-0.002451
451,-0.002289
450,-0.002188
449,-0.002323
448,-0.002438
447,-0.001869
446,-0.001505
445,-0.001998
444,-0.001968
443,-0.001622
442,-0.001551
441,-0.00135
440,-0.001506
439,-0.001426
438,-0.000936
437,-0.000835
436,-0.001086
435,-0.000248
434,0.000293
433,0.000718
432,0.001331
431,0.00165
430,0.0025
429,0.003834
428,0.005237
427,0.006507
426,0.007623
425,0.008054
424,0.008885
423,0.008641
422,0.008065
421,0.008132
420,0.008036
419,0.007453
418,0.007204
417,0.007342
416,0.007386
415,0.007286
414,0.007264
413,0.007959
412,0.008617
411,0.009017
410,0.009526
409,0.009984
408,0.010802
407,0.011539
406,0.012397
405,0.013255
404,0.014274
403,0.01539
402,0.016018
401,0.016545
400,0.016505
399,0.016412
398,0.016612
397,0.016849
396,0.017752
395,0.019274
394,0.020794
393,0.022946
392,0.025808
391,0.028787
390,0.032723
389,0.037558
388,0.043519
387,0.04995
386,0.057721
385,0.067765
384,0.079054
383,0.090473
382,0.104039
381,0.119059
380,0.134441
379,0.150799
378,0.169359
377,0.188979
376,0.207124
375,0.225357
374,0.244833
373,0.266843
372,0.289061
371,0.311425
370,0.335219
369,0.358234
368,0.380185
367,0.401508
366,0.422693
365,0.442748
364,0.459442
363,0.474185
362,0.486543
361,0.496141
360,0.504332
359,0.512851
358,0.521017
357,0.530323
356,0.539471
355,0.550793
354,0.565763
353,0.581996
352,0.598744
351,0.61634
350,0.63545
349,0.651555
348,0.667279
347,0.68322
346,0.696106
345,0.704928
344,0.711639
343,0.714689
342,0.71498
341,0.714767
340,0.714142
339,0.713736
338,0.712378
337,0.713458
336,0.711394
335,0.709837
334,0.712482
333,0.710964
332,0.70975
331,0.707623
330,0.704463
329,0.700422
328,0.698543
327,0.693616
326,0.682863
325,0.675404
324,0.665249
323,0.649894
322,0.63576
321,0.623114
320,0.612346
319,0.600308
318,0.590637
317,0.582572
316,0.574713
315,0.570175
314,0.566412
313,0.56416
312,0.562157
311,0.560552
310,0.559551
309,0.557665
308,0.555639
307,0.55338
306,0.549333
305,0.54589
304,0.538677
303,0.52992
302,0.520367
301,0.507334
300,0.492601
299,0.478396
298,0.463276
297,0.446348
296,0.429675
295,0.414305
294,0.400056
293,0.387059
292,0.377504
291,0.370356
290,0.364763
289,0.362516
288,0.363223
287,0.368067
286,0.376568
285,0.390177
284,0.407881
283,0.42921
282,0.450691
281,0.471864
280,0.490328
279,0.503448
278,0.510635
277,0.511987
276,0.508452
275,0.504808
274,0.500584
273,0.497564
272,0.497634
271,0.497842
270,0.49925
269,0.501236
268,0.501535
267,0.50165
266,0.500234
265,0.498875
264,0.498065
263,0.496254
262,0.496899
261,0.497777
260,0.498803
259,0.502061
258,0.508096
257,0.512197
256,0.516262
255,0.51995
254,0.522673
253,0.528648
252,0.53701
251,0.551512
250,0.574445
